GradeRecNo,GradeDateGraded,GradeLessonsRecNo,GradeScore,GradeStudentsRecNo,GradeDateSent,GradeDateReceived,GradeComments
3,2012-04-16,2,98,1196,NULL,NULL,NULL
68,2012-03-18,2,87,1050,NULL,NULL,NULL
73,2012-04-11,2,92,1252,NULL,NULL,NULL
109,2012-06-29,2,86,1207,NULL,NULL,NULL
127,2012-03-22,2,67,1176,NULL,NULL,NULL
131,2012-04-01,2,72,1048,NULL,NULL,NULL
150,2012-03-19,2,92,1049,NULL,NULL,NULL
155,2012-06-05,2,97,1126,NULL,NULL,NULL
164,2012-04-27,2,82,1239,NULL,NULL,NULL
175,2012-03-19,2,87,1170,NULL,NULL,NULL
177,2012-04-24,2,80,1115,NULL,NULL,NULL
193,2012-06-14,2,92,1129,NULL,NULL,NULL
243,2012-06-12,2,94,1134,NULL,NULL,NULL
249,2012-03-29,2,50,1203,NULL,NULL,NULL
267,2012-01-11,2,95,962,NULL,NULL,NULL
278,2012-01-12,2,96,983,NULL,NULL,NULL
285,2012-03-31,2,64,1000,NULL,NULL,NULL
311,2012-04-04,2,65,1180,NULL,NULL,NULL
339,2012-04-17,2,93,1213,NULL,NULL,NULL
369,2012-03-04,2,94,1104,NULL,NULL,NULL
374,2012-04-17,2,78,1248,NULL,NULL,NULL
420,2012-06-05,2,100,1071,NULL,NULL,NULL
478,2012-06-05,2,96,1146,NULL,NULL,NULL
499,2012-06-12,2,98,1318,NULL,NULL,NULL
505,2012-04-04,2,97,1181,NULL,NULL,NULL
520,2012-04-27,2,92,1273,NULL,NULL,NULL
580,2012-05-03,2,79,1281,NULL,NULL,NULL
600,2012-01-12,2,97,984,NULL,NULL,NULL
609,2012-04-24,2,79,1237,NULL,NULL,NULL
616,2012-04-19,2,86,1261,NULL,NULL,NULL
622,2012-06-12,2,91,1319,NULL,NULL,NULL
692,2012-03-22,2,60,1191,NULL,NULL,NULL
731,2011-12-23,2,67,936,NULL,NULL,NULL
732,2012-06-27,2,60,1255,NULL,NULL,NULL
735,2012-05-31,2,68,1321,NULL,NULL,NULL
764,2012-03-19,2,90,859,NULL,NULL,NULL
766,2012-02-19,2,96,727,NULL,NULL,NULL
776,2012-04-22,2,98,874,NULL,NULL,NULL
794,2012-02-20,2,95,857,NULL,NULL,NULL
802,2012-02-16,2,92,947,NULL,NULL,NULL
841,2012-03-19,2,88,873,NULL,NULL,NULL
866,2012-04-17,2,98,1260,NULL,NULL,NULL
876,2012-03-12,2,93,1153,NULL,NULL,NULL
894,2012-03-19,2,96,872,NULL,NULL,NULL
950,2012-04-12,2,38,1199,NULL,NULL,NULL
953,2012-04-15,2,75,1194,NULL,NULL,NULL
966,2012-02-20,2,97,875,NULL,NULL,NULL
980,2012-03-19,2,68,839,NULL,NULL,NULL
981,2012-04-12,2,88,1219,NULL,NULL,NULL
1003,2012-04-16,2,98,1196,NULL,NULL,NULL
1029,2012-03-12,2,91,840,NULL,NULL,NULL
1034,2012-03-12,2,95,924,NULL,NULL,NULL
1072,2012-05-16,2,94,1290,NULL,NULL,NULL
1118,2012-04-11,2,93,1225,NULL,NULL,NULL
1125,2012-02-27,2,71,824,NULL,NULL,NULL
1130,2012-04-27,2,99,862,NULL,NULL,NULL
1179,2012-06-26,2,91,1226,NULL,NULL,NULL
1185,2012-03-19,2,97,847,NULL,NULL,NULL
1239,2012-04-17,2,98,1258,NULL,NULL,NULL
1402,2012-09-08,2,98,1351,NULL,NULL,NULL
1476,2012-09-25,2,92,1217,NULL,NULL,NULL
1490,2012-09-26,2,99,1315,NULL,NULL,NULL
1587,2012-10-10,2,89,1427,NULL,NULL,NULL
1591,2012-10-09,2,85,1205,NULL,NULL,NULL
1621,2012-10-25,2,96,1286,NULL,NULL,NULL
1636,2012-10-30,2,98,1291,NULL,NULL,NULL
1683,2012-12-18,2,47,1549,NULL,NULL,NULL
1703,2012-11-26,2,94,1505,NULL,NULL,NULL
1710,2012-11-27,2,80,1528,NULL,NULL,NULL
1825,2012-12-22,2,55,1486,NULL,NULL,NULL
1838,2012-12-31,2,83,1577,NULL,NULL,NULL
1860,2013-01-02,2,93,1553,NULL,NULL,NULL
1930,2013-01-31,2,77,1567,NULL,NULL,NULL
1976,2013-02-12,2,56,1572,NULL,NULL,NULL
1992,2013-03-01,2,96,1525,NULL,NULL,NULL
2042,2013-03-19,2,68,1683,NULL,NULL,NULL
2087,2013-04-14,2,89,1696,NULL,NULL,NULL
2096,2013-04-19,2,95,1428,NULL,NULL,NULL
2102,2013-05-29,2,89,1646,NULL,NULL,NULL
2167,2013-05-29,2,89,1621,NULL,NULL,NULL
2170,2013-05-29,2,89,1426,NULL,NULL,NULL
2178,2013-05-29,2,89,1229,NULL,NULL,NULL
